Ticket	Open Time	Type	Size	Item	Price	S / L	T / P	Close Time	Price	Commission	Taxes	Swap	Profit
3885328	2012.12.04 07:58	sell	0.2	usdjpypro	81.947	0	81.905	2012.12.04 08:00	81.946	-2	0	0	20
3885279	2012.12.04 07:50	sell	0.2	usdjpypro	81.977	0	0	2012.12.04 07:55	81.954	-2	0	0	460
3885268	2012.12.04 07:49	sell	0.2	usdjpypro	82.036	0	0	2012.12.04 07:50	82.003	-2	0	0	660
3885235	2012.12.04 07:42	buy	0.2	eurusdpro	1.30736	0	0	2012.12.04 07:48	1.30679	-2	0	0	-935
3885116	2012.12.04 06:56	sell	0.2	eurusdpro	1.30649	0	0	2012.12.04 07:03	1.30713	-2	0	0	-1 050
3878646	2012.11.30 15:26	buy	0.2	usdjpypro	82.49	82.495	83.575	2012.11.30 15:42	82.54	-2	0	0	1 000
3878571	2012.11.30 15:26	buy	0.3	usdjpypro	82.49	82.495	83.575	2012.11.30 15:41	82.56	-2	0	0	2 100
3878539	2012.11.30 15:19	buy	0.2	eurusdpro	1.30154	0	0	2012.11.30 15:21	1.30189	-2	0	0	578
3878424	2012.11.30 15:11	sell	0.1	eurusdpro	1.30134	1.3019	1.3011	2012.11.30 15:13	1.30176	-1	0	0	-347
3878383	2012.11.30 15:07	sell	0.2	usdjpypro	82.454	0	0	2012.11.30 15:07	82.445	-2	0	0	180
3878317	2012.11.30 15:02	buy	0.2	usdjpypro	82.535	0	0	2012.11.30 15:02	82.545	-2	0	0	200
3878195	2012.11.30 14:51	sell	0.2	usdjpypro	82.575	82.625	82.505	2012.11.30 14:57	82.524	-2	0	0	1 020
3878146	2012.11.30 14:45	sell	0.2	usdjpypro	82.625	0	0	2012.11.30 14:46	82.6	-2	0	0	500
3878142	2012.11.30 14:44	buy	0.2	usdjpypro	82.648	0	0	2012.11.30 14:45	82.618	-2	0	0	-600
3878086	2012.11.30 14:26	buy	0.2	eurusdpro	1.29865	1.2974	0	2012.11.30 14:40	1.29928	-2	0	0	1 041
3877231	2012.11.30 10:21	buy	0.5	eurusdpro	1.30044	0	0	2012.11.30 10:22	1.30002	-4	0	0	-1 735
3877204	2012.11.30 10:06	sell	0.5	eurusdpro	1.29933	0	0	2012.11.30 10:19	1.30026	-4	0	0	-3 842
3877058	2012.11.30 09:45	sell	0.5	eurusdpro	1.3003	0	1.2999	2012.11.30 09:46	1.3	-4	0	0	1 239
3876668	2012.11.30 07:42	buy	0.5	eurusdpro	1.30183	0	0	2012.11.30 07:44	1.30213	-4	0	0	1 239
3876618	2012.11.30 07:19	sell	0.5	eurusdpro	1.30203	0	0	2012.11.30 07:35	1.30206	-4	0	0	-124
3876609	2012.11.30 07:17	sell	0.2	usdjpypro	82.518	0	0	2012.11.30 07:19	82.495	-2	0	0	460
3876175	2012.11.30 05:01	sell	0.5	usdjpypro	82.397	82.497	82.3	2012.11.30 07:08	82.497	-4	0	0	-5 000
3874003	2012.11.29 15:12	sell	0.5	eurusdpro	1.29785	0	0	2012.11.29 15:13	1.29838	-4	0	0	-2 173
3873946	2012.11.29 15:02	buy	2	eurusdpro	1.30124	1.3	0	2012.11.29 15:08	1.3	-16	0	0	-20 325
3873936	2012.11.29 15:02	buy	2	eurusdpro	1.30106	0	0	2012.11.29 15:02	1.30109	-16	0	0	492
3873904	2012.11.29 14:59	buy	2	eurusdpro	1.30072	0	0	2012.11.29 15:00	1.30009	-16	0	0	-10 334
3873864	2012.11.29 14:50	sell	0.5	eurusdpro	1.29985	0	0	2012.11.29 14:54	1.2996	-4	0	0	1 024
3873823	2012.11.29 14:36	sell	0.5	usdjpypro	81.944	82.01	81.8	2012.11.29 14:49	81.964	-4	0	0	-1 000
3873744	2012.11.29 14:07	sell	3	eurusdpro	1.29855	0	0	2012.11.29 14:19	1.29955	-24	0	0	-24 622
3873680	2012.11.29 13:47	sell	1	eurusdpro	1.29894	0	1.2975	2012.11.29 13:52	1.29912	-8	0	0	-1 477
3873656	2012.11.29 13:35	buy	1	eurusdpro	1.2999	1.299	0	2012.11.29 13:40	1.29934	-8	0	0	-4 599
3873640	2012.11.29 13:33	buy	1	eurusdpro	1.29964	1.2989	0	2012.11.29 13:34	1.29964	-8	0	0	0
3873614	2012.11.29 13:30	sell	0.5	usdjpypro	82.115	82.155	0	2012.11.29 14:21	82.056	-4	0	0	2 950
3873555	2012.11.29 13:30	sell	1	usdjpypro	82.09	82.16	81.9	2012.11.29 13:30	82.16	-8	0	0	-7 000
3869913	2012.11.28 14:02	sell	2	eurusdpro	1.28915	0	1.28875	2012.11.28 14:13	1.28894	-16	0	0	3 437
3869891	2012.11.28 13:58	buy	2	eurusdpro	1.28953	0	0	2012.11.28 14:00	1.28941	-16	0	0	-1 964
3869837	2012.11.28 13:40	buy	1	eurusdpro	1.28927	0	0	2012.11.28 13:41	1.28896	-8	0	0	-2 537
3869741	2012.11.28 13:20	buy	1	usdjpypro	81.854	0	81.854	2012.11.28 13:22	81.83	-8	0	0	-2 400
3869630	2012.11.28 12:48	sell	2	eurjpypro	105.502	105.583	0	2012.11.28 15:32	105.583	-16	0	0	-16 200
3869357	2012.11.28 11:20	buy	0.5	eurusdpro	1.29051	0	0	2012.11.28 11:20	1.29052	-4	0	0	41
3869256	2012.11.28 11:07	sell	2	eurjpypro	105.684	106.272	0	2012.11.28 11:27	105.657	-16	0	0	5 400
3869255	2012.11.28 11:07	sell	2	eurjpypro	105.684	105.647	0	2012.11.28 12:07	105.647	-16	0	0	7 400
3868415	2012.11.28 04:30	sell	2	eurjpypro	105.876	106.017	0	2012.11.28 08:08	106.017	-16	0	0	-28 200
3868414	2012.11.28 04:30	sell	2	eurjpypro	105.876	105.862	0	2012.11.28 09:52	105.862	-16	0	0	2 800
3867117	2012.11.27 17:17	sell	4	usdjpypro	82.217	0	0	2012.11.27 17:21	82.233	-32	0	0	-6 400
3867086	2012.11.27 17:02	buy	2	usdjpypro	82.253	0	0	2012.11.27 17:30	82.235	-16	0	0	-3 600
3867035	2012.11.27 16:16	sell	0.5	eurusdpro	1.29295	0	0	2012.11.27 16:25	1.29308	-4	0	0	-535
3866955	2012.11.27 15:33	sell	0.5	eurusdpro	1.29171	0	0	2012.11.27 15:45	1.2924	-4	0	0	-2 837
3866875	2012.11.27 15:15	sell	1	eurusdpro	1.29226	0	1.292	2012.11.27 15:31	1.29212	-8	0	0	1 151
3863349	2012.11.26 15:38	buy	1	usdjpypro	82.13	82.106	82.175	2012.11.26 15:55	82.16	-8	0	0	3 000
