close price,close time,comment,commission,expiration,lots,magic number,open price,open time,profit,stop loss,swap,symbol,take profit,ticket,order type
114.473,2013.01.03 10:04,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,114.729,2013.01.03 08:37,-25600,114.473,0,EURJPYpro,0,3972701,0
113.949,2013.01.03 11:04,expiration [2013.01.03 11:04],0,2013.01.03 11:04,1,30001,114.661,2013.01.03 10:04,0,114.296,0,EURJPYpro,0,3972981,4
113.912,2013.01.03 12:04,expiration [2013.01.03 12:04],0,2013.01.03 12:04,1,30001,114.552,2013.01.03 11:04,0,114.028,0,EURJPYpro,0,3973569,4
113.801,2013.01.03 13:04,expiration [2013.01.03 13:04],0,2013.01.03 13:04,1,30001,114.468,2013.01.03 12:04,0,113.74,0,EURJPYpro,0,3973742,4
113.861,2013.01.03 14:04,expiration [2013.01.03 14:04],0,2013.01.03 14:04,1,30001,114.379,2013.01.03 13:04,0,113.424,0,EURJPYpro,0,3974026,4
113.981,2013.01.03 15:04,expiration [2013.01.03 15:04],0,2013.01.03 15:04,1,30001,114.316,2013.01.03 14:04,0,113.29,0,EURJPYpro,0,3974261,4
113.823,2013.01.03 16:04,expiration [2013.01.03 16:04],0,2013.01.03 16:04,1,30001,114.249,2013.01.03 15:04,0,113.165,0,EURJPYpro,0,3974463,4
114.662,2013.01.04 09:35,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,114.857,2013.01.04 08:30,-19500,114.662,0,EURJPYpro,0,3978116,0
114.762,2013.01.04 13:30,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,114.682,2013.01.04 09:36,8000,114.762,0,EURJPYpro,0,3978388,0
114.634,2013.01.04 13:31,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,114.845,2013.01.04 13:30,-21100,114.634,0,EURJPYpro,0,3979219,0
114.515,2013.01.04 13:43,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,114.723,2013.01.04 13:31,-20800,114.515,0,EURJPYpro,0,3979415,0
114.412,2013.01.04 14:19,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,114.645,2013.01.04 13:51,-23300,114.412,0,EURJPYpro,0,3979648,0
115.244,2013.01.07 00:01,xEMA_1.5.2,-513,1970.01.01 00:00,1,30001,114.653,2013.01.04 14:52,59100,115.244,-140,EURJPYpro,0,3980061,0
